No.,wiki_PER_name_tag,Comment,flair_PER_name_tag,Comment
1,Onesicritus,,Leo,"Zodiac, also a person name"
2,Alexander,,Alexander,
3,Artemidorus,,Onesicritus,
4,Isidore,,Paulus Aemilius,
5,Father Liber,,Cyrus,
6,Hercules,,SCYTHIA,location name
7,Paulus Aemilius,,Aramii,"location name, appears after ""the name of..."""
8,Amasis,,M. Varro,
9,Alexander the Great,,Pompey,
10,Antiochus,,Laros,location name
11,Seleucus,,Hecataeus,
12,M,should be M. Varro,Patrocles,
13,Varro,,Alexander the Great,
14,Amometus,,Baeton,
15,Hecataeus,,Protalis,"location name, appears after ""the name of..."""
16,Eratosthenes,,Hercules,
17,Agrippa,,Patala,location name
18,Posidonius,,TAPROBANE,
19,Patrocles,,Annius Plocamus,
20,Megasthenes,,Rachias,
21,Dionysius,,SABTUL,
22,Philadelphus,,Daritis,location name
23,Seneca,,Nearchus,
24,Diognetus,,"the ""Island of the Sun""",location name
25,Baeton,,Muza,"location name, appears in ""...by name"""
26,Seleucus Nicator,,Barace,"Ethnic group, appears in ""...by name"""
27,Bacchus,,Therothoae,"location name, appears in ""...have the name of..."""
28,Jupiter,,Coele Syria,"location name, appears after ""the name of..."""
29,Claudius,,Tauron,
30,Annius Plocamus,,Choromandae,"location name, appears after ""the name of..."""
31,Rachias,,Homer,
32,Taprobane,,Aristotle,
33,Cyrus,,Isigonus,
34,Semiramis,,Mandi,"refer to locusts in the context, appears after ""the name of..."""
35,Juba,,Megasthenes,
36,Nearchus,,Duris,
37,Leonnatus,,Herodotus,
38,Pandion,,Regulus,
39,Erythras,,Claudius,
40,Epiphanes,,Ptolemy,
41,Ctesias,,Marcus Scaurus,
42,Pompey the Great,,Dinon,
43,Liber,,Clitarchus,
44,Procilius,,Democritus,
45,Pompey,,Virgil,
46,Germanicus Caesar,,the Emperor Nero,
47,Herodotus,,Mago,
48,Regulus,,Cadurci,Ethnic group
49,Ptolemy,,Ruteni,Ethnic group
50,Tiberius,,Varro,
51,Triton,,Anaxilaus,
52,Augustus,,Theophrastus,
53,Turranius,,Coelius,
54,Andromeda,,Licinius Macer,
55,Marcus Scaurus,,Micon,
56,Statius Sebosus,,Aetion,
57,Dinon,,Melinum,"name of a type of oil, appears in ""which I have called..."""
58,Clitarchus,,Cornelius Bocchus,
59,Melampus,,Aeschylus,
60,Democritus,,Sudines,
61,Homer,,Sotacus,
62,Virgil,,Xenocrates,
63,Nero,,Meleager,
64,Mithridates,,Sophocles,
65,Fabius,,Caesar Germanicus,
66,Chiron,,Transpadane Gaul,location name
67,Poppaea,,Zenothemis,
68,Nature,"Personification of nature, ""in accordance with Nature's will and pleasure""",Ismenias,
69,Theophrastus,,Magi,
70,Harpalus,,Milo,
71,Anaxilaus,,Atizoe,"stone name, appears in ""The Atizoe, he writes..."", ""he"" here refer to the Magi in the context"
72,Cleopatra,,,
73,Mark Antony,,,
74,Polyclitus,,,
75,Theopompus,,,
76,Coelius,,,
77,Apion,,,
78,Medes,location name,,
79,Saturn,,,
80,Bryazus,,,
81,Larcius Licinius,,,
82,Licinius Macer,,,
83,Avarice,Personification in the context,,
84,Polygnotus,,,
85,Micon,,,
86,Apelles,,,
87,Selinus,location name,,
88,Aetion,,,
89,Melanthius,,,
90,Nicomachus,,,
91,Man,Collective Noun,,
92,Obsius,,,
93,Menelaus,,,
94,Scius,,,
95,Xenocrates,,,
96,Pythagoras,,,
97,Cornelius Bocchus,,,
98,Sudines,,,
99,Livia,,,
100,Phaethon,,,
101,Aeschylus,,,
102,Philoxenus,,,
103,Euripides,,,
104,Nicander,,,
105,Satyrus,,,
106,Apollonius,,,
107,Chares,,,
108,Philemon,,,
109,Caesar Germanicus,,,
110,Antony,,,
111,Nonius,,,
112,Nonius Struma,,,
113,Catullus,,,
114,Servilius Nonianus,,,
115,Ismenias,,,
116,Demostratus,,,
117,Zenothemis,,,
118,Sotacus,,,
119,Menander,,,
120,Venus,,,
121,Milo,,,
