,PER_names,Book
85,Onesicritus,2
85,Alexander,2
85,Alexander,2
85,Onesicritus,2
92,Onesicritus,2
92,Alexander,2
92,Alexander,2
92,Onesicritus,2
93,Onesicritus,2
93,Alexander,2
93,Alexander,2
93,Onesicritus,2
326,Ctesias,2
326,Theopompus,2
343,Artemidorus,2
343,Isidore,2
343,Artemidorus,2
343,Artemidorus,2
348,Artemidorus,2
348,Isidore,2
348,Artemidorus,2
348,Artemidorus,2
349,Artemidorus,2
349,Isidore,2
349,Artemidorus,2
349,Artemidorus,2
365,Artemidorus,2
365,Isidore,2
365,Artemidorus,2
365,Artemidorus,2
2015,Father Liber,4
2015,Hercules,4
2015,Paulus Aemilius,4
2938,Amasis,5
4109,Alexander the Great,6
4114,Alexander,6
4114,Antiochus,6
4114,Seleucus,6
4115,Alexander,6
4115,Antiochus,6
4115,Seleucus,6
4121,Alexander the Great,6
4121,M,6
4121,Varro,6
4122,Alexander the Great,6
4122,M,6
4122,Varro,6
4123,Alexander the Great,6
4123,M,6
4123,Varro,6
4130,Amometus,6
4130,Hecataeus,6
4131,Amometus,6
4131,Hecataeus,6
4133,Eratosthenes,6
4133,Agrippa,6
4133,Posidonius,6
4134,Eratosthenes,6
4134,Agrippa,6
4134,Posidonius,6
4135,Eratosthenes,6
4135,Agrippa,6
4135,Posidonius,6
4136,Eratosthenes,6
4136,Agrippa,6
4136,Posidonius,6
4137,Eratosthenes,6
4137,Agrippa,6
4137,Posidonius,6
4139,Alexander the Great,6
4139,Seleucus,6
4139,Antiochus,6
4139,Patrocles,6
4139,Megasthenes,6
4139,Dionysius,6
4139,Philadelphus,6
4139,Alexander the Great,6
4139,Father Liber,6
4139,Alexander the Great,6
4139,Alexander the Great,6
4139,Seneca,6
4141,Alexander the Great,6
4141,Seleucus,6
4141,Antiochus,6
4141,Patrocles,6
4141,Megasthenes,6
4141,Dionysius,6
4141,Philadelphus,6
4141,Alexander the Great,6
4141,Father Liber,6
4141,Alexander the Great,6
4141,Alexander the Great,6
4141,Seneca,6
4142,Alexander the Great,6
4142,Seleucus,6
4142,Antiochus,6
4142,Patrocles,6
4142,Megasthenes,6
4142,Dionysius,6
4142,Philadelphus,6
4142,Alexander the Great,6
4142,Father Liber,6
4142,Alexander the Great,6
4142,Alexander the Great,6
4142,Seneca,6
4143,Alexander the Great,6
4143,Seleucus,6
4143,Antiochus,6
4143,Patrocles,6
4143,Megasthenes,6
4143,Dionysius,6
4143,Philadelphus,6
4143,Alexander the Great,6
4143,Father Liber,6
4143,Alexander the Great,6
4143,Alexander the Great,6
4143,Seneca,6
4144,Alexander the Great,6
4144,Seleucus,6
4144,Antiochus,6
4144,Patrocles,6
4144,Megasthenes,6
4144,Dionysius,6
4144,Philadelphus,6
4144,Alexander the Great,6
4144,Father Liber,6
4144,Alexander the Great,6
4144,Alexander the Great,6
4144,Seneca,6
4145,Alexander the Great,6
4145,Seleucus,6
4145,Antiochus,6
4145,Patrocles,6
4145,Megasthenes,6
4145,Dionysius,6
4145,Philadelphus,6
4145,Alexander the Great,6
4145,Father Liber,6
4145,Alexander the Great,6
4145,Alexander the Great,6
4145,Seneca,6
4149,Alexander the Great,6
4149,Seleucus,6
4149,Antiochus,6
4149,Patrocles,6
4149,Megasthenes,6
4149,Dionysius,6
4149,Philadelphus,6
4149,Alexander the Great,6
4149,Father Liber,6
4149,Alexander the Great,6
4149,Alexander the Great,6
4149,Seneca,6
4153,Alexander the Great,6
4153,Diognetus,6
4153,Baeton,6
4153,Alexander,6
4153,Alexander,6
4154,Alexander the Great,6
4154,Diognetus,6
4154,Baeton,6
4154,Alexander,6
4154,Alexander,6
4155,Alexander the Great,6
4155,Diognetus,6
4155,Baeton,6
4155,Alexander,6
4155,Alexander,6
4156,Seleucus Nicator,6
4157,Seleucus Nicator,6
4158,Seleucus Nicator,6
4168,Baeton,6
4168,Megasthenes,6
4169,Baeton,6
4169,Megasthenes,6
4170,Baeton,6
4170,Megasthenes,6
4171,Baeton,6
4171,Megasthenes,6
4172,Artemidorus,6
4173,Artemidorus,6
4174,Artemidorus,6
4175,Artemidorus,6
4185,Alexander,6
4187,Alexander,6
4188,Bacchus,6
4188,Jupiter,6
4189,Bacchus,6
4189,Jupiter,6
4190,Bacchus,6
4190,Jupiter,6
4191,Bacchus,6
4191,Jupiter,6
4192,Bacchus,6
4192,Jupiter,6
4195,Alexander the Great,6
4195,Onesicritus,6
4195,Megasthenes,6
4195,Eratosthenes,6
4196,Alexander the Great,6
4196,Onesicritus,6
4196,Megasthenes,6
4196,Eratosthenes,6
4197,Alexander the Great,6
4197,Onesicritus,6
4197,Megasthenes,6
4197,Eratosthenes,6
4198,Alexander the Great,6
4198,Onesicritus,6
4198,Megasthenes,6
4198,Eratosthenes,6
4200,Alexander the Great,6
4200,Onesicritus,6
4200,Megasthenes,6
4200,Eratosthenes,6
4205,Claudius,6
4205,Annius Plocamus,6
4207,Rachias,6
4208,Rachias,6
4209,Taprobane,6
4211,Hercules,6
4211,Father Liber,6
4211,Taprobane,6
4212,Cyrus,6
4212,Semiramis,6
4212,Alexander,6
4213,Cyrus,6
4213,Semiramis,6
4213,Alexander,6
4216,Alexander,6
4216,Alexander,6
4217,Alexander,6
4217,Alexander,6
4221,Onesicritus,6
4221,Alexander,6
4221,Juba,6
4221,Onesicritus,6
4221,Nearchus,6
4221,Alexander,6
4221,Nearchus,6
4221,Leonnatus,6
4221,Alexander,6
4256,Pandion,6
4258,Pandion,6
4259,Pandion,6
4260,Pandion,6
4261,Pandion,6
4262,Pandion,6
4268,Erythras,6
4268,Eratosthenes,6
4268,Onesicritus,6
4268,Nearchus,6
4410,M,6
4410,Agrippa,6
4456,Epiphanes,6
4501,Juba,6
4501,Juba,6
4859,Megasthenes,7
4859,Ctesias,7
4861,Megasthenes,7
4861,Ctesias,7
4862,Megasthenes,7
4862,Ctesias,7
