,id,label,type
85,Onesicritus,Onesicritus,Person_Name
85,Alexander,Alexander,Person_Name
326,Ctesias,Ctesias,Person_Name
326,Theopompus,Theopompus,Person_Name
343,Artemidorus,Artemidorus,Person_Name
343,Isidore,Isidore,Person_Name
2015,Father Liber,Father Liber,Person_Name
2015,Hercules,Hercules,Person_Name
2015,Paulus Aemilius,Paulus Aemilius,Person_Name
2938,Amasis,Amasis,Person_Name
4109,Alexander the Great,Alexander the Great,Person_Name
4114,Antiochus,Antiochus,Person_Name
4114,Seleucus,Seleucus,Person_Name
4121,M,M,Person_Name
4121,Varro,Varro,Person_Name
4130,Amometus,Amometus,Person_Name
4130,Hecataeus,Hecataeus,Person_Name
4133,Eratosthenes,Eratosthenes,Person_Name
4133,Agrippa,Agrippa,Person_Name
4133,Posidonius,Posidonius,Person_Name
4139,Patrocles,Patrocles,Person_Name
4139,Megasthenes,Megasthenes,Person_Name
4139,Dionysius,Dionysius,Person_Name
4139,Philadelphus,Philadelphus,Person_Name
4139,Seneca,Seneca,Person_Name
4153,Diognetus,Diognetus,Person_Name
4153,Baeton,Baeton,Person_Name
4156,Seleucus Nicator,Seleucus Nicator,Person_Name
4188,Bacchus,Bacchus,Person_Name
4188,Jupiter,Jupiter,Person_Name
4205,Claudius,Claudius,Person_Name
4205,Annius Plocamus,Annius Plocamus,Person_Name
4207,Rachias,Rachias,Person_Name
4209,Taprobane,Taprobane,Person_Name
4212,Cyrus,Cyrus,Person_Name
4212,Semiramis,Semiramis,Person_Name
4221,Juba,Juba,Person_Name
4221,Nearchus,Nearchus,Person_Name
4221,Leonnatus,Leonnatus,Person_Name
4256,Pandion,Pandion,Person_Name
4268,Erythras,Erythras,Person_Name
4456,Epiphanes,Epiphanes,Person_Name
5074,Pompey the Great,Pompey the Great,Person_Name
5074,Liber,Liber,Person_Name
5074,Procilius,Procilius,Person_Name
5074,Pompey,Pompey,Person_Name
5074,Germanicus Caesar,Germanicus Caesar,Person_Name
5076,Herodotus,Herodotus,Person_Name
5094,Regulus,Regulus,Person_Name
5257,Ptolemy,Ptolemy,Person_Name
5267,Tiberius,Tiberius,Person_Name
5267,Triton,Triton,Person_Name
5267,Augustus,Augustus,Person_Name
5267,Turranius,Turranius,Person_Name
5267,Andromeda,Andromeda,Person_Name
5267,Marcus Scaurus,Marcus Scaurus,Person_Name
5290,Statius Sebosus,Statius Sebosus,Person_Name
5505,Dinon,Dinon,Person_Name
5505,Clitarchus,Clitarchus,Person_Name
5505,Melampus,Melampus,Person_Name
5505,Democritus,Democritus,Person_Name
5505,Homer,Homer,Person_Name
5621,Virgil,Virgil,Person_Name
5621,Nero,Nero,Person_Name
5632,Mithridates,Mithridates,Person_Name
5632,Fabius,Fabius,Person_Name
5641,Chiron,Chiron,Person_Name
5716,Poppaea,Poppaea,Person_Name
6344,Nature,Nature,Person_Name
6363,Theophrastus,Theophrastus,Person_Name
6363,Harpalus,Harpalus,Person_Name
6794,Anaxilaus,Anaxilaus,Person_Name
6797,Cleopatra,Cleopatra,Person_Name
6797,Mark Antony,Mark Antony,Person_Name
7405,Polyclitus,Polyclitus,Person_Name
7414,Coelius,Coelius,Person_Name
7414,Apion,Apion,Person_Name
7414,Medes,Medes,Person_Name
7414,Saturn,Saturn,Person_Name
7414,Bryazus,Bryazus,Person_Name
7414,Larcius Licinius,Larcius Licinius,Person_Name
7582,Licinius Macer,Licinius Macer,Person_Name
7654,Avarice,Avarice,Person_Name
8023,Polygnotus,Polygnotus,Person_Name
8023,Micon,Micon,Person_Name
8023,Apelles,Apelles,Person_Name
8028,Selinus,Selinus,Person_Name
8031,Aetion,Aetion,Person_Name
8031,Melanthius,Melanthius,Person_Name
8031,Nicomachus,Nicomachus,Person_Name
8583,Man,Man,Person_Name
8592,Obsius,Obsius,Person_Name
8592,Menelaus,Menelaus,Person_Name
8592,Scius,Scius,Person_Name
8592,Xenocrates,Xenocrates,Person_Name
8612,Pythagoras,Pythagoras,Person_Name
8612,Cornelius Bocchus,Cornelius Bocchus,Person_Name
8612,Sudines,Sudines,Person_Name
8621,Livia,Livia,Person_Name
8646,Phaethon,Phaethon,Person_Name
8646,Aeschylus,Aeschylus,Person_Name
8646,Philoxenus,Philoxenus,Person_Name
8646,Euripides,Euripides,Person_Name
8646,Nicander,Nicander,Person_Name
8646,Satyrus,Satyrus,Person_Name
8646,Apollonius,Apollonius,Person_Name
8646,Chares,Chares,Person_Name
8646,Philemon,Philemon,Person_Name
8665,Caesar Germanicus,Caesar Germanicus,Person_Name
8697,Antony,Antony,Person_Name
8697,Nonius,Nonius,Person_Name
8697,Nonius Struma,Nonius Struma,Person_Name
8697,Catullus,Catullus,Person_Name
8697,Servilius Nonianus,Servilius Nonianus,Person_Name
8706,Ismenias,Ismenias,Person_Name
8706,Demostratus,Demostratus,Person_Name
8706,Zenothemis,Zenothemis,Person_Name
8706,Sotacus,Sotacus,Person_Name
8736,Menander,Menander,Person_Name
8759,Venus,Venus,Person_Name
8809,Milo,Milo,Person_Name
8828,Zoroaster,Zoroaster,Person_Name
8828,Baal,Baal,Person_Name
8828,Eusebes,Eusebes,Person_Name
