,Place_Name,Book
85,India,2
92,India,2
93,India,2
218,Indus,2
326,Bactria,2
343,India,2
348,Ganges,2
349,India,2
365,Ganges,2
2015,India,4
2538,Acesinus,4
2938,India,5
4109,India,6
4114,Oxus,6
4115,Indus,6
4121,India,6
4122,Oxus,6
4123,India,6
4130,India,6
4131,India,6
4133,India,6
4134,Indus,6
4135,India,6
4136,India,6
4137,India,6
4139,India,6
4141,India,6
4142,India,6
4143,Indus,6
4144,Ganges,6
4145,India,6
4149,India,6
4153,India,6
4154,Indus,6
4155,Hydaspes,6
4156,Ganges,6
4157,Ganges,6
4158,Ganges,6
4160,Ganges,6
4161,Ganges,6
4164,Ganges,6
4165,India,6
4166,Ganges,6
4167,Ganges,6
4168,India,6
4169,Ganges,6
4170,Indus,6
4171,India,6
4172,Ganges,6
4173,Ganges,6
4174,Indus,6
4175,Indus,6
4176,Indus,6
4177,Hydaspes,6
4178,Acesinus,6
4179,Ganges,6
4180,India,6
4181,Indus,6
4182,Indus,6
4183,India,6
4185,Indus,6
4187,Indus,6
4188,India,6
4189,Indus,6
4190,India,6
4191,India,6
4192,Taprobane,6
4193,Indus,6
4194,Indus,6
4195,Taprobane,6
4196,India,6
4197,India,6
4198,India,6
4200,Taprobane,6
4205,Taprobane,6
4207,Taprobane,6
4208,India,6
4209,Taprobane,6
4211,Taprobane,6
4212,Indus,6
4213,Arachosia,6
4216,Indus,6
4217,India,6
4221,India,6
4236,India,6
4237,India,6
4238,India,6
4240,India,6
4256,India,6
4258,India,6
4259,India,6
4260,Muziris,6
4261,India,6
4262,India,6
4268,Indus,6
4272,India,6
4410,Indus,6
4456,India,6
4501,Baragaza,6
4604,India,6
4608,Aria,6
4624,India,6
4655,India,6
4696,India,6
4859,India,7
4861,India,7
4862,India,7
4863,India,7
4864,India,7
4865,India,7
4866,India,7
4867,Ganges,7
4869,India,7
4870,Ceylon,7
4871,India,7
5074,India,8
5076,India,8
5086,India,8
5090,India,8
5092,India,8
5094,India,8
5122,India,8
5128,India,8
5157,India,8
5159,India,8
5167,India,8
5175,India,8
5223,India,8
5257,Ganges,9
5267,India,9
5290,Ganges,9
5291,India,9
5332,India,9
5341,Ceylon,9
5479,India,10
5505,India,10
5547,India,11
5621,India,12
5622,India,12
5632,India,12
5633,India,12
5634,Bactria,12
5635,India,12
5639,India,12
5641,India,12
5643,India,12
5644,India,12
5645,India,12
5646,India,12
5648,India,12
5650,India,12
5656,India,12
5657,India,12
5659,India,12
5660,Indus,12
5661,Ganges,12
5690,India,12
5691,India,12
5692,India,12
5716,India,12
5773,India,12
5907,India,13
5946,India,13
6242,India,15
6344,India,16
6363,India,16
6365,India,16
6373,India,16
6506,India,17
6552,India,18
6578,Bactria,18
6579,India,18
6611,India,18
6678,Bactria,18
6767,India,19
6794,India,19
6797,Indus,19
6927,India,21
7038,India,22
7060,India,24
7089,India,24
7097,Indus,24
7105,Bactria,24
7242,India,27
7405,India,31
7414,India,31
7516,Bactria,31
7517,Oxus,31
7519,India,31
7541,Oxus,31
7582,India,32
7635,India,32
7638,Ceylon,32
7654,India,33
7700,Ganges,33
7701,India,33
7952,India,34
8023,India,35
8028,India,35
8031,India,35
8356,India,36
8583,India,36
8584,India,36
8592,India,36
8612,India,37
8621,India,37
8646,India,37
8652,India,37
8657,India,37
8665,India,37
8667,India,37
8673,India,37
8695,India,37
8697,India,37
8706,India,37
8722,India,37
8724,India,37
8727,India,37
8736,India,37
8743,India,37
8746,India,37
8749,India,37
8759,India,37
8770,India,37
8771,India,37
8772,India,37
8780,India,37
8782,India,37
8789,India,37
8809,India,37
8811,India,37
8822,India,37
8828,Bactria,37
8842,India,37
8844,India,37
8847,India,37
8853,India,37
8866,Indus,37
8869,Ganges,37
8870,India,37
8873,India,37
