source,target
Palatine,Esquiline
Palatine,Capitol
Esquiline,Capitol
Ethiopia,Egypt
Dalmatia,Cyrenaica
Narbonne,Ostia
Narbonne,Vienne
Narbonne,Egypt
Ostia,Vienne
Ostia,Egypt
Vienne,Egypt
Italy,Black Sea
Italy,Black Sea
Egypt,Italy
Egypt,Italy
Egypt,Rome
Italy,Rome
Italy,Rome
Rome,Pompei
Etruria,Bolsena
Bolsena,Etruria
Etruria,Bolsena
Temple,Rome
Italy,Terracina
Italy,Temple
Terracina,Temple
Lucania,Compsa
Ameria,Tuder
Aegospotami,Thrace
Aegospotami,Abydos
Aegospotami,Potidaea
Thrace,Abydos
Thrace,Potidaea
Abydos,Potidaea
Italy,Locri
Italy,Rhodes
Italy,Syracuse
Locri,Rhodes
Locri,Syracuse
Rhodes,Syracuse
Pelion,Alps
Cadiz,Scythia
Cadiz,Caspian Sea
Cadiz,Maeotic
Cadiz,Mauretania
Cadiz,Carthage
Cadiz,Arabia
Cadiz,Ethiopia
Scythia,Caspian Sea
Scythia,Maeotic
Scythia,Cadiz
Scythia,Mauretania
Scythia,Carthage
Scythia,Cadiz
Scythia,Arabia
Scythia,Cadiz
Scythia,Ethiopia
Caspian Sea,Maeotic
Caspian Sea,Cadiz
Caspian Sea,Mauretania
Caspian Sea,Carthage
Caspian Sea,Cadiz
Caspian Sea,Arabia
Caspian Sea,Cadiz
Caspian Sea,Ethiopia
Maeotic,Cadiz
Maeotic,Mauretania
Maeotic,Carthage
Maeotic,Cadiz
Maeotic,Arabia
Maeotic,Cadiz
Maeotic,Ethiopia
Cadiz,Mauretania
Cadiz,Carthage
Cadiz,Arabia
Cadiz,Ethiopia
Mauretania,Carthage
Mauretania,Cadiz
Mauretania,Arabia
Mauretania,Cadiz
Mauretania,Ethiopia
Carthage,Cadiz
Carthage,Arabia
Carthage,Cadiz
Carthage,Ethiopia
Cadiz,Arabia
Cadiz,Ethiopia
Arabia,Cadiz
Arabia,Ethiopia
Cadiz,Ethiopia
Cave-dweller Country,Egypt
Cave-dweller Country,Italy
Cave-dweller Country,Alexandria
Cave-dweller Country,Rhodes
Cave-dweller Country,Black Sea
Cave-dweller Country,Rhodes
Cave-dweller Country,Alexandria
Cave-dweller Country,Arabia
Cave-dweller Country,Meroe
Egypt,Italy
Egypt,Alexandria
Egypt,Rhodes
Egypt,Black Sea
Egypt,Rhodes
Egypt,Alexandria
Egypt,Arabia
Egypt,Meroe
Italy,Alexandria
Italy,Rhodes
Italy,Black Sea
Italy,Rhodes
Italy,Alexandria
Italy,Arabia
Italy,Meroe
Alexandria,Rhodes
Alexandria,Black Sea
Alexandria,Rhodes
Alexandria,Arabia
Alexandria,Meroe
Rhodes,Black Sea
Rhodes,Alexandria
Rhodes,Arabia
Rhodes,Meroe
Black Sea,Rhodes
Black Sea,Alexandria
Black Sea,Arabia
Black Sea,Meroe
Rhodes,Alexandria
Rhodes,Arabia
Rhodes,Meroe
Alexandria,Arabia
Alexandria,Meroe
Arabia,Meroe
Arbela,Sicily
Arbela,Campania
Arbela,Armenia
Sicily,Campania
Sicily,Armenia
Campania,Armenia
Sicyon,Elis
Egypt,Rome
Egypt,Ancona
Egypt,Italy
Rome,Ancona
Rome,Italy
Ancona,Italy
Syene,India
Syene,Berenice
Syene,Ptolemais
Syene,Red Sea
Syene,Meroe
Syene,Nile
Syene,India
Syene,India
India,Berenice
India,Ptolemais
India,Red Sea
India,Meroe
India,Nile
India,Syene
Berenice,Ptolemais
Berenice,Red Sea
Berenice,Meroe
Berenice,Nile
Berenice,Syene
Berenice,India
Berenice,India
Ptolemais,Red Sea
Ptolemais,Meroe
Ptolemais,Nile
Ptolemais,Syene
Ptolemais,India
Ptolemais,India
Red Sea,Meroe
Red Sea,Nile
Red Sea,Syene
Red Sea,India
Red Sea,India
Meroe,Nile
Meroe,Syene
Meroe,India
Meroe,India
Nile,Syene
Nile,India
Nile,India
Syene,India
Syene,India
Meroe,Alexandria
Meroe,Italy
Meroe,Britain
Meroe,Thule
Meroe,Britain
Alexandria,Italy
Alexandria,Britain
Alexandria,Thule
Alexandria,Britain
Italy,Britain
Italy,Thule
Italy,Britain
Britain,Thule
Thule,Britain
Alps,Apennines
Italy,Naples
Etruria,Modena
Etruria,Italy
Modena,Italy
Rome,Trasimene
Trasimene,Rome
Echinades,Achelous
Echinades,Egypt
Echinades,Nile
Echinades,Pharos
Echinades,Circei
Echinades,Ambracia
Echinades,Piraeus
Echinades,Ephesus
Echinades,temple
Echinades,Memphis
Echinades,Ethiopia
Echinades,Arabia
Echinades,Ilium
Echinades,Maeander
Achelous,Egypt
Achelous,Nile
Achelous,Pharos
Achelous,Circei
Achelous,Ambracia
Achelous,Piraeus
Achelous,Ephesus
Achelous,temple
Achelous,Memphis
Achelous,Ethiopia
Achelous,Arabia
Achelous,Ilium
Achelous,Maeander
Egypt,Nile
Egypt,Pharos
Egypt,Circei
Egypt,Ambracia
Egypt,Piraeus
Egypt,Ephesus
Egypt,temple
Egypt,Memphis
Egypt,Ethiopia
Egypt,Arabia
Egypt,Ilium
Egypt,Maeander
Nile,Pharos
Nile,Circei
Nile,Ambracia
Nile,Piraeus
Nile,Ephesus
Nile,temple
Nile,Memphis
Nile,Ethiopia
Nile,Arabia
Nile,Ilium
Nile,Maeander
Pharos,Circei
Pharos,Ambracia
Pharos,Piraeus
Pharos,Ephesus
Pharos,temple
Pharos,Memphis
Pharos,Ethiopia
Pharos,Arabia
Pharos,Ilium
Pharos,Maeander
Circei,Ambracia
Circei,Piraeus
Circei,Ephesus
Circei,temple
Circei,Memphis
Circei,Ethiopia
Circei,Arabia
Circei,Ilium
Circei,Maeander
Ambracia,Piraeus
Ambracia,Ephesus
Ambracia,temple
Ambracia,Memphis
Ambracia,Ethiopia
Ambracia,Arabia
Ambracia,Ilium
Ambracia,Maeander
Piraeus,Ephesus
Piraeus,temple
Piraeus,Memphis
Piraeus,Ethiopia
Piraeus,Arabia
Piraeus,Ilium
Piraeus,Maeander
Ephesus,temple
Ephesus,Memphis
Ephesus,Ethiopia
Ephesus,Arabia
Ephesus,Ilium
Ephesus,Maeander
temple,Memphis
temple,Ethiopia
temple,Arabia
temple,Ilium
temple,Maeander
Memphis,Ethiopia
Memphis,Arabia
Memphis,Ilium
Memphis,Maeander
Ethiopia,Arabia
Ethiopia,Ilium
Ethiopia,Maeander
Arabia,Ilium
Arabia,Maeander
Ilium,Maeander
Delos,Rhodes
Delos,Anaphe
Delos,Melos
Delos,Lemnos
Delos,Dardanelles
Delos,Halone
Delos,Lebedos
Delos,Teos
Delos,Cyclades
Delos,Thera
Delos,Therasia
Delos,Hiera
Delos,Automate
Delos,Hiera
Delos,Thia
Rhodes,Anaphe
Rhodes,Melos
Rhodes,Lemnos
Rhodes,Dardanelles
Rhodes,Halone
Rhodes,Lebedos
Rhodes,Teos
Rhodes,Cyclades
Rhodes,Thera
Rhodes,Therasia
Rhodes,Hiera
Rhodes,Automate
Rhodes,Hiera
Rhodes,Thia
Anaphe,Melos
Anaphe,Lemnos
Anaphe,Dardanelles
Anaphe,Halone
Anaphe,Lebedos
Anaphe,Teos
Anaphe,Cyclades
Anaphe,Thera
Anaphe,Therasia
Anaphe,Hiera
Anaphe,Automate
Anaphe,Hiera
Anaphe,Thia
Melos,Lemnos
Melos,Dardanelles
Melos,Halone
Melos,Lebedos
Melos,Teos
Melos,Cyclades
Melos,Thera
Melos,Therasia
Melos,Hiera
Melos,Automate
Melos,Hiera
Melos,Thia
Lemnos,Dardanelles
Lemnos,Halone
Lemnos,Lebedos
Lemnos,Teos
Lemnos,Cyclades
Lemnos,Thera
Lemnos,Therasia
Lemnos,Hiera
Lemnos,Automate
Lemnos,Hiera
Lemnos,Thia
Dardanelles,Halone
Dardanelles,Lebedos
Dardanelles,Teos
Dardanelles,Cyclades
Dardanelles,Thera
Dardanelles,Therasia
Dardanelles,Hiera
Dardanelles,Automate
Dardanelles,Hiera
Dardanelles,Thia
Halone,Lebedos
Halone,Teos
Halone,Cyclades
Halone,Thera
Halone,Therasia
Halone,Hiera
Halone,Automate
Halone,Hiera
Halone,Thia
Lebedos,Teos
Lebedos,Cyclades
Lebedos,Thera
Lebedos,Therasia
Lebedos,Hiera
Lebedos,Automate
Lebedos,Hiera
Lebedos,Thia
Teos,Cyclades
Teos,Thera
Teos,Therasia
Teos,Hiera
Teos,Automate
Teos,Hiera
Teos,Thia
Cyclades,Thera
Cyclades,Therasia
Cyclades,Hiera
Cyclades,Automate
Cyclades,Hiera
Cyclades,Thia
Thera,Therasia
Thera,Hiera
Thera,Automate
Thera,Hiera
Thera,Thia
Therasia,Hiera
Therasia,Automate
Therasia,Hiera
Therasia,Thia
Hiera,Automate
Hiera,Thia
Automate,Hiera
Automate,Thia
Hiera,Thia
Aeolian Islands,Italy
Aeolian Islands,Crete
Aeolian Islands,Etruria
Aeolian Islands,Pithecusae
Aeolian Islands,Campania
Italy,Crete
Italy,Etruria
Italy,Pithecusae
Italy,Campania
Crete,Etruria
Crete,Pithecusae
Crete,Campania
Etruria,Pithecusae
Etruria,Campania
Pithecusae,Campania
Sicily,Italy
Sicily,Cyprus
Sicily,Syria
Sicily,Euboea
Sicily,Boeotia
Sicily,Atalante
Sicily,Euboea
Sicily,Besbicus
Sicily,Bithynia
Italy,Cyprus
Italy,Syria
Italy,Euboea
Italy,Boeotia
Italy,Atalante
Italy,Euboea
Italy,Besbicus
Italy,Bithynia
Cyprus,Syria
Cyprus,Euboea
Cyprus,Boeotia
Cyprus,Atalante
Cyprus,Euboea
Cyprus,Besbicus
Cyprus,Bithynia
Syria,Euboea
Syria,Boeotia
Syria,Atalante
Syria,Euboea
Syria,Besbicus
Syria,Bithynia
Euboea,Boeotia
Euboea,Atalante
Euboea,Besbicus
Euboea,Bithynia
Boeotia,Atalante
Boeotia,Euboea
Boeotia,Besbicus
Boeotia,Bithynia
Atalante,Euboea
Atalante,Besbicus
Atalante,Bithynia
Euboea,Besbicus
Euboea,Bithynia
Besbicus,Bithynia
Antissa,Lesbos
Antissa,Halicarnassus
Antissa,Myndus
Antissa,Miletus
Antissa,Hybanda
Antissa,Ephesus
Antissa,Magnesia
Antissa,Epidaurus
Antissa,Oricum
Lesbos,Halicarnassus
Lesbos,Myndus
Lesbos,Miletus
Lesbos,Hybanda
Lesbos,Ephesus
Lesbos,Magnesia
Lesbos,Epidaurus
Lesbos,Oricum
Halicarnassus,Myndus
Halicarnassus,Miletus
Halicarnassus,Hybanda
Halicarnassus,Ephesus
Halicarnassus,Magnesia
Halicarnassus,Epidaurus
Halicarnassus,Oricum
Myndus,Miletus
Myndus,Hybanda
Myndus,Ephesus
Myndus,Magnesia
Myndus,Epidaurus
Myndus,Oricum
Miletus,Hybanda
Miletus,Ephesus
Miletus,Magnesia
Miletus,Epidaurus
Miletus,Oricum
Hybanda,Ephesus
Hybanda,Magnesia
Hybanda,Epidaurus
Hybanda,Oricum
Ephesus,Magnesia
Ephesus,Epidaurus
Ephesus,Oricum
Magnesia,Epidaurus
Magnesia,Oricum
Epidaurus,Oricum
Acarnania,Ambracian Gulf
Acarnania,Achaea
Acarnania,Gulf of Corinth
Acarnania,Propontis
Acarnania,Black Sea
Acarnania,Leucas
Acarnania,Antirrhium
Acarnania,Dardanelles
Ambracian Gulf,Achaea
Ambracian Gulf,Gulf of Corinth
Ambracian Gulf,Propontis
Ambracian Gulf,Black Sea
Ambracian Gulf,Leucas
Ambracian Gulf,Antirrhium
Ambracian Gulf,Dardanelles
Achaea,Gulf of Corinth
Achaea,Propontis
Achaea,Black Sea
Achaea,Leucas
Achaea,Antirrhium
Achaea,Dardanelles
Gulf of Corinth,Propontis
Gulf of Corinth,Black Sea
Gulf of Corinth,Leucas
Gulf of Corinth,Antirrhium
Gulf of Corinth,Dardanelles
Propontis,Black Sea
Propontis,Leucas
Propontis,Antirrhium
Propontis,Dardanelles
Black Sea,Leucas
Black Sea,Antirrhium
Black Sea,Dardanelles
Leucas,Antirrhium
Leucas,Dardanelles
Antirrhium,Dardanelles
Caria,Sipylus
Caria,Magnesia
Caria,Gamale
Caria,Phoenicia
Caria,Ethiopia
Sipylus,Magnesia
Sipylus,Gamale
Sipylus,Phoenicia
Sipylus,Ethiopia
Magnesia,Gamale
Magnesia,Phoenicia
Magnesia,Ethiopia
Gamale,Phoenicia
Gamale,Ethiopia
Phoenicia,Ethiopia
Black Sea,Maeotis
Black Sea,Gulf of Corinth
Black Sea,Helice
Black Sea,Bura
Black Sea,Ceos
Black Sea,Tyndaris
Black Sea,Sicily
Black Sea,Italy
Black Sea,Eleusis
Black Sea,Boeotia
Maeotis,Gulf of Corinth
Maeotis,Helice
Maeotis,Bura
Maeotis,Ceos
Maeotis,Tyndaris
Maeotis,Sicily
Maeotis,Italy
Maeotis,Eleusis
Maeotis,Boeotia
Gulf of Corinth,Helice
Gulf of Corinth,Bura
Gulf of Corinth,Ceos
Gulf of Corinth,Tyndaris
Gulf of Corinth,Sicily
Gulf of Corinth,Italy
Gulf of Corinth,Eleusis
Gulf of Corinth,Boeotia
Helice,Bura
Helice,Ceos
Helice,Tyndaris
Helice,Sicily
Helice,Italy
Helice,Eleusis
Helice,Boeotia
Bura,Ceos
Bura,Tyndaris
Bura,Sicily
Bura,Italy
Bura,Eleusis
Bura,Boeotia
Ceos,Tyndaris
Ceos,Sicily
Ceos,Italy
Ceos,Eleusis
Ceos,Boeotia
