,UUID4,ToposText_ID,Place_Name,Reference,Lat,Long,Book,Chapter,Paragraph,Text
85,e98c54b2-4990-4441-bf00-0e3908d3caf5,https://topostext.org/place/300740RInd,India,urn:cts:latinLit:phi0978.phi001:2.75.1,30.0,74.0,2,75,1.0,"Similarly it is reported that at the town of Syene, 5000 stades South of Alexandria, at noon in midsummer no shadow is cast, and that in a well made for the sake of testing this the light reaches to the bottom, clearly showing that the sun is vertically above that place at the time; and this is stated in the writings of Onesicritus also to occur at the same time in India South of the river Hypasis. It is also stated that in the Cave-dwellers' city of Berenice, and 4820 stades away at the town of Ptolemais in the same tribe, which was founded on the shore of the Red Sea for the earliest elephant hunts, the same thing occurs 45 days before and 45 days after midsummer, and during that period of 90 days the shadows are thrown southward. Again in Meroe — this is an inhabited island in the river Nile 5000 stades from Syene, and is the capital of the Aethiopian race — the shadows disappear twice a year, when the sun is in the 18th degree of Taurus and in the 14th of Leo. There is a mountain named Maleus in the Indian tribe of the Oretes, near which shadows are thrown southward in summer and northward in winter; the northern constellation is visible there on only 15 nights. Also in India at the well-known port of Patala the sun rises on the right and shadows fall southward. It was noticed when Alexander was staying at this place that the Great and Little Bears were visible only in the early part of the night. Alexander's guide Onesicritus wrote that this constellation is not visible at the places in India where there are no shadows, and that these places are called Shadeless, and no reckoning is kept of the hours there. "
92,be04b6c7-9c8c-4324-93e4-4fffe6f09926,https://topostext.org/place/300740RInd,India,urn:cts:latinLit:phi0978.phi001:2.75.1,30.0,74.0,2,75,1.0,"Similarly it is reported that at the town of Syene, 5000 stades South of Alexandria, at noon in midsummer no shadow is cast, and that in a well made for the sake of testing this the light reaches to the bottom, clearly showing that the sun is vertically above that place at the time; and this is stated in the writings of Onesicritus also to occur at the same time in India South of the river Hypasis. It is also stated that in the Cave-dwellers' city of Berenice, and 4820 stades away at the town of Ptolemais in the same tribe, which was founded on the shore of the Red Sea for the earliest elephant hunts, the same thing occurs 45 days before and 45 days after midsummer, and during that period of 90 days the shadows are thrown southward. Again in Meroe — this is an inhabited island in the river Nile 5000 stades from Syene, and is the capital of the Aethiopian race — the shadows disappear twice a year, when the sun is in the 18th degree of Taurus and in the 14th of Leo. There is a mountain named Maleus in the Indian tribe of the Oretes, near which shadows are thrown southward in summer and northward in winter; the northern constellation is visible there on only 15 nights. Also in India at the well-known port of Patala the sun rises on the right and shadows fall southward. It was noticed when Alexander was staying at this place that the Great and Little Bears were visible only in the early part of the night. Alexander's guide Onesicritus wrote that this constellation is not visible at the places in India where there are no shadows, and that these places are called Shadeless, and no reckoning is kept of the hours there. "
93,0cbc01b1-360b-4749-8e55-7d9b9fe410fb,https://topostext.org/place/300740RInd,India,urn:cts:latinLit:phi0978.phi001:2.75.1,30.0,74.0,2,75,1.0,"Similarly it is reported that at the town of Syene, 5000 stades South of Alexandria, at noon in midsummer no shadow is cast, and that in a well made for the sake of testing this the light reaches to the bottom, clearly showing that the sun is vertically above that place at the time; and this is stated in the writings of Onesicritus also to occur at the same time in India South of the river Hypasis. It is also stated that in the Cave-dwellers' city of Berenice, and 4820 stades away at the town of Ptolemais in the same tribe, which was founded on the shore of the Red Sea for the earliest elephant hunts, the same thing occurs 45 days before and 45 days after midsummer, and during that period of 90 days the shadows are thrown southward. Again in Meroe — this is an inhabited island in the river Nile 5000 stades from Syene, and is the capital of the Aethiopian race — the shadows disappear twice a year, when the sun is in the 18th degree of Taurus and in the 14th of Leo. There is a mountain named Maleus in the Indian tribe of the Oretes, near which shadows are thrown southward in summer and northward in winter; the northern constellation is visible there on only 15 nights. Also in India at the well-known port of Patala the sun rises on the right and shadows fall southward. It was noticed when Alexander was staying at this place that the Great and Little Bears were visible only in the early part of the night. Alexander's guide Onesicritus wrote that this constellation is not visible at the places in India where there are no shadows, and that these places are called Shadeless, and no reckoning is kept of the hours there. "
218,05f74559-da91-4626-ba70-86d7c1ed3e03,https://topostext.org/place/254683WInd,Indus,urn:cts:latinLit:phi0978.phi001:2.98.1,25.4487,68.3192,2,98,1.0,"Near the town of Harpasa in Asia stands a jagged rock that can be moved with one finger, but that also resists a push made with the whole body. On the peninsula of the Taurians in the state of Parasinum there is some earth which heals all wounds. But in the neighbourhood of Assos in the Troad a stone is produced that causes all bodies to waste away; it is called the Flesh-eater. There are two mountains near the river Indus, the nature of one of which is to hold all iron and that of the other to reject it; consequently if a man has nails in his shoes, on one of the mountains at each step he is unable to tear his foot away from the ground and on the other he cannot set it down on the ground. It is recorded that at Locri and Croton there has never been a plague or earthquake, and that in Lycia an earthquake is always followed by forty days' fine weather. Corn sown in the Arpi district does not come up, and at Mycian Altars in the district of Veii and at Tusculum and in the Ciminian Forest there are places where stakes driven into the ground cannot be pulled out. Hay grown in the Crustuminum district is noxious on the spot but healthy when conveyed elsewhere. "
343,169abc74-38e6-487b-8c74-dababfbfe393,https://topostext.org/place/300740RInd,India,urn:cts:latinLit:phi0978.phi001:2.112.1,30.0,74.0,2,112,1.0,"Our own portion of the earth, which is my subject, swims as it were in the ocean by which, as we have said, it is surrounded; its longest extent is from East to West, i.e. from India to the Pillars consecrated to Hercules at Cadiz, a distance of 8,568 miles according to Artemidorus, but 9,818 according to Isidore. Artemidorus adds in addition from Cadiz round the Sacred Promontory to Artabrum promontory, the longest projection of the coast of Spain, 890 1/2 miles. The measurement runs by a double route; from the river Ganges and its mouth where it flows into the Eastern Ocean, through India and Parthyene to the Syrian city of Myriandrus situated on the Issic gulf 5,215, from there by the shortest sea-route to the island of Cyprus, from Patara in Lycia to Rhodes, to the island of Astypalaea in the Carpathian Sea, to Taenarus in Laconia, Lilybaion in Sicily, Caralis in Sardinia, 213, thence to Cadiz 1,250, the total distance from the Eastern Sea making 8,568. Another route, which is more certain, extends mainly overland from the Ganges to the river Euphrates 5,169, thence to Mazaca in Cappadocia 244, thence through Phrygia and Caria to Ephesus 499, from Ephesus across the Aegean Sea to Delos 200, to the Isthmus 202 1/2, thence by land and the Alcyonian Sea and the Gulf of Corinth to Patras in the Peloponnese 102 1/2, to Leucas 87 1/2, to Corcyra ditto, to Acroceraunia 82 1/2, to Brindisi 87 1/2, to Rome 360, across the Alps to the village of Scingomagum 518, through Gallia to the Pyrenees at Illiberis 456, to the Ocean and the coast of Spain 832, across to Cadiz 7 1/2 — which figures by Artemidorus's calculation make 8,995 miles. "
348,2c299226-cfb8-448a-84f8-46679e415d0f,https://topostext.org/place/38898WGan,Ganges,urn:cts:latinLit:phi0978.phi001:2.112.1,23.7818,89.8009,2,112,1.0,"Our own portion of the earth, which is my subject, swims as it were in the ocean by which, as we have said, it is surrounded; its longest extent is from East to West, i.e. from India to the Pillars consecrated to Hercules at Cadiz, a distance of 8,568 miles according to Artemidorus, but 9,818 according to Isidore. Artemidorus adds in addition from Cadiz round the Sacred Promontory to Artabrum promontory, the longest projection of the coast of Spain, 890 1/2 miles. The measurement runs by a double route; from the river Ganges and its mouth where it flows into the Eastern Ocean, through India and Parthyene to the Syrian city of Myriandrus situated on the Issic gulf 5,215, from there by the shortest sea-route to the island of Cyprus, from Patara in Lycia to Rhodes, to the island of Astypalaea in the Carpathian Sea, to Taenarus in Laconia, Lilybaion in Sicily, Caralis in Sardinia, 213, thence to Cadiz 1,250, the total distance from the Eastern Sea making 8,568. Another route, which is more certain, extends mainly overland from the Ganges to the river Euphrates 5,169, thence to Mazaca in Cappadocia 244, thence through Phrygia and Caria to Ephesus 499, from Ephesus across the Aegean Sea to Delos 200, to the Isthmus 202 1/2, thence by land and the Alcyonian Sea and the Gulf of Corinth to Patras in the Peloponnese 102 1/2, to Leucas 87 1/2, to Corcyra ditto, to Acroceraunia 82 1/2, to Brindisi 87 1/2, to Rome 360, across the Alps to the village of Scingomagum 518, through Gallia to the Pyrenees at Illiberis 456, to the Ocean and the coast of Spain 832, across to Cadiz 7 1/2 — which figures by Artemidorus's calculation make 8,995 miles. "
349,6c9f667f-cd8a-4297-8649-979558a86f30,https://topostext.org/place/300740RInd,India,urn:cts:latinLit:phi0978.phi001:2.112.1,30.0,74.0,2,112,1.0,"Our own portion of the earth, which is my subject, swims as it were in the ocean by which, as we have said, it is surrounded; its longest extent is from East to West, i.e. from India to the Pillars consecrated to Hercules at Cadiz, a distance of 8,568 miles according to Artemidorus, but 9,818 according to Isidore. Artemidorus adds in addition from Cadiz round the Sacred Promontory to Artabrum promontory, the longest projection of the coast of Spain, 890 1/2 miles. The measurement runs by a double route; from the river Ganges and its mouth where it flows into the Eastern Ocean, through India and Parthyene to the Syrian city of Myriandrus situated on the Issic gulf 5,215, from there by the shortest sea-route to the island of Cyprus, from Patara in Lycia to Rhodes, to the island of Astypalaea in the Carpathian Sea, to Taenarus in Laconia, Lilybaion in Sicily, Caralis in Sardinia, 213, thence to Cadiz 1,250, the total distance from the Eastern Sea making 8,568. Another route, which is more certain, extends mainly overland from the Ganges to the river Euphrates 5,169, thence to Mazaca in Cappadocia 244, thence through Phrygia and Caria to Ephesus 499, from Ephesus across the Aegean Sea to Delos 200, to the Isthmus 202 1/2, thence by land and the Alcyonian Sea and the Gulf of Corinth to Patras in the Peloponnese 102 1/2, to Leucas 87 1/2, to Corcyra ditto, to Acroceraunia 82 1/2, to Brindisi 87 1/2, to Rome 360, across the Alps to the village of Scingomagum 518, through Gallia to the Pyrenees at Illiberis 456, to the Ocean and the coast of Spain 832, across to Cadiz 7 1/2 — which figures by Artemidorus's calculation make 8,995 miles. "
365,ab8329c3-9d15-4a36-8a95-4f599ebb02ea,https://topostext.org/place/38898WGan,Ganges,urn:cts:latinLit:phi0978.phi001:2.112.1,23.7818,89.8009,2,112,1.0,"Our own portion of the earth, which is my subject, swims as it were in the ocean by which, as we have said, it is surrounded; its longest extent is from East to West, i.e. from India to the Pillars consecrated to Hercules at Cadiz, a distance of 8,568 miles according to Artemidorus, but 9,818 according to Isidore. Artemidorus adds in addition from Cadiz round the Sacred Promontory to Artabrum promontory, the longest projection of the coast of Spain, 890 1/2 miles. The measurement runs by a double route; from the river Ganges and its mouth where it flows into the Eastern Ocean, through India and Parthyene to the Syrian city of Myriandrus situated on the Issic gulf 5,215, from there by the shortest sea-route to the island of Cyprus, from Patara in Lycia to Rhodes, to the island of Astypalaea in the Carpathian Sea, to Taenarus in Laconia, Lilybaion in Sicily, Caralis in Sardinia, 213, thence to Cadiz 1,250, the total distance from the Eastern Sea making 8,568. Another route, which is more certain, extends mainly overland from the Ganges to the river Euphrates 5,169, thence to Mazaca in Cappadocia 244, thence through Phrygia and Caria to Ephesus 499, from Ephesus across the Aegean Sea to Delos 200, to the Isthmus 202 1/2, thence by land and the Alcyonian Sea and the Gulf of Corinth to Patras in the Peloponnese 102 1/2, to Leucas 87 1/2, to Corcyra ditto, to Acroceraunia 82 1/2, to Brindisi 87 1/2, to Rome 360, across the Alps to the village of Scingomagum 518, through Gallia to the Pyrenees at Illiberis 456, to the Ocean and the coast of Spain 832, across to Cadiz 7 1/2 — which figures by Artemidorus's calculation make 8,995 miles. "
2015,a2ca4309-824a-49ea-aeb1-3b3f930ee38c,https://topostext.org/place/300740RInd,India,urn:cts:latinLit:phi0978.phi001:4.17.4,30.0,74.0,4,17,4.0,"Such is Macedonia, which was once the mistress of the world, which once extended her career over Asia, Armenia, Iberia, Albania, Cappadocia, Syria, Egypt, Taurus, and Caucasus, which reduced the whole of the East under her power, and triumphed over the Bactri, the Medes, and the Persians. She too it was who proved the conqueror of India, thus treading in the footsteps of Father Liber and of Hercules; and this is that same Macedonia, of which our own general Paulus Aemilius sold to pillage seventy-two cities in one day. So great the difference in her lot resulting from the actions of two individuals! "
2538,3174f08a-8690-49ff-a880-7b67b2f37de5,https://topostext.org/place/293710WAke,Acesinus,urn:cts:latinLit:phi0978.phi001:4.26.2,29.1513,70.7367,4,26,2.0,"At this spot begins a well-wooded district, which has given to the sea that washes its banks the name of the Hylaean Sea; its inhabitants are called Enoechadlae. Beyond them is the river Panticapes, which separates the Nomades and the Georgi, and after it the Acesinus. Some authors say that the Panticapes flows into the Borysthenes below Olbia. Others, who are more correct, say that it is the Hypanis: so great is the mistake made by those who have placed it in Asia. "
2938,2fbac4c4-7198-4519-b75d-8663ff987dc4,https://topostext.org/place/300740RInd,India,urn:cts:latinLit:phi0978.phi001:5.11.1,30.0,74.0,5,11,1.0,"THE CITIES OF EGYPT: Egypt, besides its boast of extreme antiquity, asserts that it contained, in the reign of King Amasis, 20,000 inhabited cities: in our day they are still very numerous, though no longer of any particular note. Still however we find the following ones mentioned as of great renown — the City of Apollo; next, that of Leucothea; then Great Diospolis, otherwise Thebes, known to fame for its hundred gates; Coptos, which from its proximity to the Nile, forms its nearest emporium for the merchandise of India and Arabia; then the city of Venus, and then another of city of Jupiter. After this comes Tentyris, below which is Abydus, the royal abode of Memnon, and famous for a temple of Osiris, which is situate in Libya, at a distance from the river of seven miles and a half. Next to it comes Ptolemais, then Panopolis, and then another city of Venus, and, on the Libyan side, Lycon, where the mountains form the boundary of the province of Thebais. On passing these, we come to the city of Mercury, Alabastron, city of Dogs, and city of Hercules already mentioned. We next come to Arsinoe, and Memphis, which has been previously mentioned; between which last and the Nome of Arsinoites, upon the Libyan side, are the towers known as the Pyramids, the Labyrinth on Lake Moeris, in the construction of which no wood was employed, and the town of Crialon. Besides these, there is one place in the interior, on the confines of Arabia, of great celebrity, the City of the Sun. "
