Book,Chapter,Paragraph,Comment,Context summary,Text remark
2,75,1,"astronomy, mentioning how the sun motivation in India as a reference",geographical reference,
2,98,1,"description of mountain, mentioning Indus river",geographical reference,
2,112,1,"description of scope of the world, mentioning India as a referring location",geographical reference,
4,17,4,"topic on Macedonia, metioning it once conquered India",conquest history,
4,26,2,"description of habitants, mentioned a river in India",geographical reference,
5,11,1,"topic on THE CITIES OF EGYPT, mentioning India merchandise in Egyptian emporium",passing mention,
6,17,2,"topic on MEDIA AND THE CASPIAN GATES, mentioning India for location reference",geographical reference,
6,18,1,"topic on  NATIONS SITUATE AROUND THE HYRCANIAN SEA, mentioning river Indus as location reference",geographical reference,
6,19,1,"topic on THE NATIONS OF SCYTHIA AND THE COUNTRIES ON THE EASTERN OCEAN, metioning India as location reference, and containing a river of trade route of Indian goods ",geographical reference,
6,20,2,"topic on THE SERES, metioning Indian habitants/tribes of this area",geographical reference,
6,21,1,topic on THE NATIONS OF INDIA,focused introduction,
6,21,2,topic on THE NATIONS OF INDIA,focused introduction,
6,21,3,topic on THE NATIONS OF INDIA,focused introduction,
6,21,4,topic on THE NATIONS OF INDIA,focused introduction,
6,21,5,topic on THE NATIONS OF INDIA,focused introduction,
6,22,1,topic on THE GANGES,focused introduction,
6,22,2,topic on THE GANGES,focused introduction,
6,22,3,topic on THE GANGES,focused introduction,
6,22,4,topic on THE GANGES,focused introduction,
6,23,1,topic on THE INDUS,focused introduction,
6,23,2,topic on THE INDUS,focused introduction,
6,23,3,topic on THE INDUS,focused introduction,
6,23,4,topic on THE INDUS,focused introduction,
6,23,5,topic on THE INDUS,focused introduction,
6,23,6,topic on THE INDUS,focused introduction,
6,24,1,topic on TAPROBANE,focused introduction,
6,24,2,topic on TAPROBANE,focused introduction,
6,24,3,topic on TAPROBANE,focused introduction,
6,24,4,topic on TAPROBANE,focused introduction,
6,24,5,topic on TAPROBANE,focused introduction,
6,25,2,"topic on THE ARIANI AND THE ADJOINING NATIONS, mentioning Indus river as a location reference",geographical reference,
6,25,3,"topic on THE ARIANI AND THE ADJOINING NATIONS, mentioning Indus river as a location/land area/dialect reference",geographical reference,
6,26,1,toipc on VOYAGES TO INDIA,transportation,
6,26,4,"toipc on VOYAGES TO INDIA, mentioning the frequency of voyage to India (every year), critisism to the luxury trade (""thirst for gain brought India even still nearer to us"")",transportation; criticism of luxury goods trade,
6,26,5,"toipc on VOYAGES TO INDIA, mentioning the frequency of voyage to India (every year)",transportation,
6,26,7,"toipc on VOYAGES TO INDIA, comparing different routes",transportation,
6,28,1,"topic on THE PERSIAN AND THE ARABIAN GULFS, mentioning India as a location reference",geographical reference,
6,28,3,"topic on THE PERSIAN AND THE ARABIAN GULFS, mentioning India as a location reference",geographical reference,
6,31,6,"topic on THE TIGRIS, mentioning Indus river as location reference",geographical reference,
6,32,3,"topic on ARABIA, mentioning India as a location reference",geographical reference,
6,34,5,"topic on TROGLODYTICE, mentioning India as a location reference",geographical reference,
6,39,2,"topic on DIVISION OF THE EARTH INTO PARALLELS AND SHADOWS OF EQUAL LENGTH, mentioning India as a center of the first parallel",geographical reference,
6,39,3,"topic on DIVISION OF THE EARTH INTO PARALLELS AND SHADOWS OF EQUAL LENGTH, mentioning India as a center of the first parallel",geographical reference,
6,39,4,"topic on DIVISION OF THE EARTH INTO PARALLELS AND SHADOWS OF EQUAL LENGTH, mentioning India as a center of the first parallel",geographical reference,
6,39,5,"topic on DIVISION OF THE EARTH INTO PARALLELS AND SHADOWS OF EQUAL LENGTH, mentioning India as a center of the first parallel",geographical reference,
7,2,6,"marvels in India, examplified in animals and people of different tribes",marvels in India,
8,2,1,"topic on elephant, metioning India in the context of Father Liber's conquest",conquest history,
8,4,1,"topic on elephant, metioning India as the origin of ivory",goods/animals/plants origin,
8,8,1,"topic on elephant, introducing how Indians hunt elephant",human activities relating to plants/animals,
8,11,1,"topic on elephant, mentioning India as the origin of ""the biggest ones"" of elephants",origin of the large sized objects,
8,13,1,"topic on elephant, mentioning India as the reference of elephants in Ethiopia",geographical reference,
8,14,1,"topic on snake, mentioning India for the snakes are large there",origin of the large sized objects,
8,25,2,"topic on tiger, mentioning India as one of the origins of tigers",goods/animals/plants origin,
8,31,1,examplifying other animals in India,goods/animals/plants origin,
8,51,1,"mentioning India as origin of chameleon, in comparison of numbers with Africa",goods/animals/plants origin,
8,53,1,mentioning India as origin of porcupine,goods/animals/plants origin,
8,60,1,"mentioning India as origin of lizard, in comparison of size with that of Arabia",goods/animals/plants origin,
8,61,2,"topic on dog, mentioning how Indian breed dogs and India as a pathway of Alexander the Great's expedition",human activities relating to plants/animals; conquest history,
8,78,3,"topic on boar, mentioning tusk length of boars in India",goods/animals/plants origin,
9,2,1,"topic on aquatic animals, mentioning large size of eels in Ganges",origin of the large sized objects,
9,4,1,"topic on aquatic animals, ocean monster, mentioning India for animal size comparison",origin of the large sized objects,
9,17,1,"topic on fish, examplifying a big size fish in river Ganges",origin of the large sized objects,
9,35,1,"topic on fish, examplifying a amphibious fish in rivers of India",goods/animals/plants origin,
