source,target
Syene,Onesicritus 
Syene,"Alexander III, the Great (general)"
Syene,"Alexander III, the Great (general)"
Syene,Onesicritus 
India,Onesicritus 
India,"Alexander III, the Great (general)"
India,"Alexander III, the Great (general)"
India,Onesicritus 
Berenice,Onesicritus 
Berenice,"Alexander III, the Great (general)"
Berenice,"Alexander III, the Great (general)"
Berenice,Onesicritus 
Ptolemais,Onesicritus 
Ptolemais,"Alexander III, the Great (general)"
Ptolemais,"Alexander III, the Great (general)"
Ptolemais,Onesicritus 
Red Sea,Onesicritus 
Red Sea,"Alexander III, the Great (general)"
Red Sea,"Alexander III, the Great (general)"
Red Sea,Onesicritus 
Meroe,Onesicritus 
Meroe,"Alexander III, the Great (general)"
Meroe,"Alexander III, the Great (general)"
Meroe,Onesicritus 
Nile,Onesicritus 
Nile,"Alexander III, the Great (general)"
Nile,"Alexander III, the Great (general)"
Nile,Onesicritus 
Syene,Onesicritus 
Syene,"Alexander III, the Great (general)"
Syene,"Alexander III, the Great (general)"
Syene,Onesicritus 
India,Onesicritus 
India,"Alexander III, the Great (general)"
India,"Alexander III, the Great (general)"
India,Onesicritus 
India,Onesicritus 
India,"Alexander III, the Great (general)"
India,"Alexander III, the Great (general)"
India,Onesicritus 
India,"Heracles (s. of Zeus), Hercules"
India,Artemidorus Ephesius
India,Isidoros of Charax
India,Artemidorus Ephesius
India,Artemidorus Ephesius
Pillars,"Heracles (s. of Zeus), Hercules"
Pillars,Artemidorus Ephesius
Pillars,Isidoros of Charax
Pillars,Artemidorus Ephesius
Pillars,Artemidorus Ephesius
Cadiz,"Heracles (s. of Zeus), Hercules"
Cadiz,Artemidorus Ephesius
Cadiz,Isidoros of Charax
Cadiz,Artemidorus Ephesius
Cadiz,Artemidorus Ephesius
Cadiz,"Heracles (s. of Zeus), Hercules"
Cadiz,Artemidorus Ephesius
Cadiz,Isidoros of Charax
Cadiz,Artemidorus Ephesius
Cadiz,Artemidorus Ephesius
Sacred Promontory,"Heracles (s. of Zeus), Hercules"
Sacred Promontory,Artemidorus Ephesius
Sacred Promontory,Isidoros of Charax
Sacred Promontory,Artemidorus Ephesius
Sacred Promontory,Artemidorus Ephesius
Ganges,"Heracles (s. of Zeus), Hercules"
Ganges,Artemidorus Ephesius
Ganges,Isidoros of Charax
Ganges,Artemidorus Ephesius
Ganges,Artemidorus Ephesius
India,"Heracles (s. of Zeus), Hercules"
India,Artemidorus Ephesius
India,Isidoros of Charax
India,Artemidorus Ephesius
India,Artemidorus Ephesius
Parthyene,"Heracles (s. of Zeus), Hercules"
Parthyene,Artemidorus Ephesius
Parthyene,Isidoros of Charax
Parthyene,Artemidorus Ephesius
Parthyene,Artemidorus Ephesius
Myriandrus,"Heracles (s. of Zeus), Hercules"
Myriandrus,Artemidorus Ephesius
