id,label,type
India,India,Place_Name
Indus,Indus,Place_Name
Ganges,Ganges,Place_Name
Acesinus,Acesinus,Place_Name
Hydaspes,Hydaspes,Place_Name
Taprobane,Taprobane,Place_Name
Arachosia,Arachosia,Place_Name
Muziris,Muziris,Place_Name
Baragaza,Baragaza,Place_Name
Ceylon,Ceylon,Place_Name
2,Book 2,Book
4,Book 4,Book
5,Book 5,Book
6,Book 6,Book
7,Book 7,Book
8,Book 8,Book
9,Book 9,Book
10,Book 10,Book
11,Book 11,Book
12,Book 12,Book
13,Book 13,Book
15,Book 15,Book
16,Book 16,Book
17,Book 17,Book
18,Book 18,Book
19,Book 19,Book
21,Book 21,Book
22,Book 22,Book
24,Book 24,Book
27,Book 27,Book
31,Book 31,Book
32,Book 32,Book
33,Book 33,Book
34,Book 34,Book
35,Book 35,Book
36,Book 36,Book
37,Book 37,Book
Onesicritus,Onesicritus,Person_Name
Alexander,Alexander,Person_Name
Artemidorus,Artemidorus,Person_Name
Isidore,Isidore,Person_Name
Father Liber,Father Liber,Person_Name
Hercules,Hercules,Person_Name
Paulus Aemilius,Paulus Aemilius,Person_Name
Amasis,Amasis,Person_Name
Alexander the Great,Alexander the Great,Person_Name
Antiochus,Antiochus,Person_Name
Seleucus,Seleucus,Person_Name
M,M,Person_Name
Varro,Varro,Person_Name
Amometus,Amometus,Person_Name
Hecataeus,Hecataeus,Person_Name
Eratosthenes,Eratosthenes,Person_Name
Agrippa,Agrippa,Person_Name
Posidonius,Posidonius,Person_Name
Patrocles,Patrocles,Person_Name
Megasthenes,Megasthenes,Person_Name
Dionysius,Dionysius,Person_Name
Philadelphus,Philadelphus,Person_Name
Seneca,Seneca,Person_Name
Diognetus,Diognetus,Person_Name
Baeton,Baeton,Person_Name
Seleucus Nicator,Seleucus Nicator,Person_Name
Bacchus,Bacchus,Person_Name
Jupiter,Jupiter,Person_Name
Claudius,Claudius,Person_Name
Annius Plocamus,Annius Plocamus,Person_Name
Rachias,Rachias,Person_Name
Taprobane,Taprobane,Person_Name
Cyrus,Cyrus,Person_Name
Semiramis,Semiramis,Person_Name
Juba,Juba,Person_Name
Nearchus,Nearchus,Person_Name
Leonnatus,Leonnatus,Person_Name
Pandion,Pandion,Person_Name
Erythras,Erythras,Person_Name
Epiphanes,Epiphanes,Person_Name
Ctesias,Ctesias,Person_Name
Pompey the Great,Pompey the Great,Person_Name
Liber,Liber,Person_Name
Procilius,Procilius,Person_Name
Pompey,Pompey,Person_Name
Germanicus Caesar,Germanicus Caesar,Person_Name
Herodotus,Herodotus,Person_Name
Regulus,Regulus,Person_Name
Ptolemy,Ptolemy,Person_Name
Tiberius,Tiberius,Person_Name
Triton,Triton,Person_Name
Augustus,Augustus,Person_Name
Turranius,Turranius,Person_Name
Andromeda,Andromeda,Person_Name
Marcus Scaurus,Marcus Scaurus,Person_Name
Statius Sebosus,Statius Sebosus,Person_Name
Dinon,Dinon,Person_Name
Clitarchus,Clitarchus,Person_Name
Melampus,Melampus,Person_Name
Democritus,Democritus,Person_Name
Homer,Homer,Person_Name
Virgil,Virgil,Person_Name
Nero,Nero,Person_Name
Mithridates,Mithridates,Person_Name
Fabius,Fabius,Person_Name
Chiron,Chiron,Person_Name
Poppaea,Poppaea,Person_Name
Nature,Nature,Person_Name
Theophrastus,Theophrastus,Person_Name
Harpalus,Harpalus,Person_Name
Anaxilaus,Anaxilaus,Person_Name
Cleopatra,Cleopatra,Person_Name
Mark Antony,Mark Antony,Person_Name
Polyclitus,Polyclitus,Person_Name
Theopompus,Theopompus,Person_Name
Coelius,Coelius,Person_Name
Apion,Apion,Person_Name
Medes,Medes,Person_Name
Saturn,Saturn,Person_Name
Bryazus,Bryazus,Person_Name
Larcius Licinius,Larcius Licinius,Person_Name
Licinius Macer,Licinius Macer,Person_Name
Avarice,Avarice,Person_Name
Polygnotus,Polygnotus,Person_Name
Micon,Micon,Person_Name
Apelles,Apelles,Person_Name
Selinus,Selinus,Person_Name
Aetion,Aetion,Person_Name
Melanthius,Melanthius,Person_Name
Nicomachus,Nicomachus,Person_Name
Man,Man,Person_Name
Obsius,Obsius,Person_Name
Menelaus,Menelaus,Person_Name
Scius,Scius,Person_Name
Xenocrates,Xenocrates,Person_Name
Pythagoras,Pythagoras,Person_Name
Cornelius Bocchus,Cornelius Bocchus,Person_Name
Sudines,Sudines,Person_Name
Livia,Livia,Person_Name
Phaethon,Phaethon,Person_Name
Aeschylus,Aeschylus,Person_Name
Philoxenus,Philoxenus,Person_Name
Euripides,Euripides,Person_Name
Nicander,Nicander,Person_Name
Satyrus,Satyrus,Person_Name
Apollonius,Apollonius,Person_Name
Chares,Chares,Person_Name
Philemon,Philemon,Person_Name
Caesar Germanicus,Caesar Germanicus,Person_Name
Antony,Antony,Person_Name
Nonius,Nonius,Person_Name
Nonius Struma,Nonius Struma,Person_Name
Catullus,Catullus,Person_Name
Servilius Nonianus,Servilius Nonianus,Person_Name
Ismenias,Ismenias,Person_Name
Demostratus,Demostratus,Person_Name
Zenothemis,Zenothemis,Person_Name
Sotacus,Sotacus,Person_Name
Menander,Menander,Person_Name
Venus,Venus,Person_Name
Milo,Milo,Person_Name
