id,label,type
Syene,Syene,Place_Name
India,India,Place_Name
Berenice,Berenice,Place_Name
Ptolemais,Ptolemais,Place_Name
Red Sea,Red Sea,Place_Name
Meroe,Meroe,Place_Name
Nile,Nile,Place_Name
Harpasa,Harpasa,Place_Name
Assos,Assos,Place_Name
Troad,Troad,Place_Name
Indus,Indus,Place_Name
Locri,Locri,Place_Name
Croton,Croton,Place_Name
Lycia,Lycia,Place_Name
Arpi,Arpi,Place_Name
Veii,Veii,Place_Name
Tusculum,Tusculum,Place_Name
Crustuminum,Crustuminum,Place_Name
Pillars,Pillars,Place_Name
Cadiz,Cadiz,Place_Name
Sacred Promontory,Sacred Promontory,Place_Name
Ganges,Ganges,Place_Name
Parthyene,Parthyene,Place_Name
Myriandrus,Myriandrus,Place_Name
Issic gulf,Issic gulf,Place_Name
Cyprus,Cyprus,Place_Name
Patara,Patara,Place_Name
Rhodes,Rhodes,Place_Name
Astypalaea,Astypalaea,Place_Name
Taenarus,Taenarus,Place_Name
Laconia,Laconia,Place_Name
Lilybaion,Lilybaion,Place_Name
Sicily,Sicily,Place_Name
Caralis,Caralis,Place_Name
Sardinia,Sardinia,Place_Name
Euphrates,Euphrates,Place_Name
Mazaca,Mazaca,Place_Name
Cappadocia,Cappadocia,Place_Name
Caria,Caria,Place_Name
Ephesus,Ephesus,Place_Name
Aegean Sea,Aegean Sea,Place_Name
Delos,Delos,Place_Name
Isthmus,Isthmus,Place_Name
Gulf of Corinth,Gulf of Corinth,Place_Name
Patras,Patras,Place_Name
Peloponnese,Peloponnese,Place_Name
Leucas,Leucas,Place_Name
Corcyra,Corcyra,Place_Name
Acroceraunia,Acroceraunia,Place_Name
Brindisi,Brindisi,Place_Name
Rome,Rome,Place_Name
Alps,Alps,Place_Name
Scingomagum,Scingomagum,Place_Name
Pyrenees,Pyrenees,Place_Name
Illiberis,Illiberis,Place_Name
Macedonia,Macedonia,Place_Name
Armenia,Armenia,Place_Name
Iberia,Iberia,Place_Name
Albania,Albania,Place_Name
Syria,Syria,Place_Name
Egypt,Egypt,Place_Name
Taurus,Taurus,Place_Name
Caucasus,Caucasus,Place_Name
Panticapes,Panticapes,Place_Name
Acesinus,Acesinus,Place_Name
Borysthenes,Borysthenes,Place_Name
Olbia,Olbia,Place_Name
Hypanis,Hypanis,Place_Name
City of Apollo,City of Apollo,Place_Name
Leucothea,Leucothea,Place_Name
Thebes,Thebes,Place_Name
Coptos,Coptos,Place_Name
Arabia,Arabia,Place_Name
city of Venus,city of Venus,Place_Name
city of Jupiter,city of Jupiter,Place_Name
Tentyris,Tentyris,Place_Name
Abydus,Abydus,Place_Name
Libya,Libya,Place_Name
Panopolis,Panopolis,Place_Name
Lycon,Lycon,Place_Name
Thebais,Thebais,Place_Name
city of Mercury,city of Mercury,Place_Name
Alabastron,Alabastron,Place_Name
city of Dogs,city of Dogs,Place_Name
city of Hercules,city of Hercules,Place_Name
Arsinoe,Arsinoe,Place_Name
Memphis,Memphis,Place_Name
Pyramids,Pyramids,Place_Name
Labyrinth,Labyrinth,Place_Name
Moeris,Moeris,Place_Name
City of the Sun,City of the Sun,Place_Name
Adiabene,Adiabene,Place_Name
Cordueni,Cordueni,Place_Name
Tigris,Tigris,Place_Name
Caspian Gates,Caspian Gates,Place_Name
Parthia,Parthia,Place_Name
Media,Media,Place_Name
Cyrus,Cyrus,Place_Name
Margiane,Margiane,Place_Name
Antiochia,Antiochia,Place_Name
Oxus,Oxus,Place_Name
Panda,Panda,Place_Name
Tanais,Tanais,Place_Name
Scythia,Scythia,Place_Name
Caspian Sea,Caspian Sea,Place_Name
Phasis,Phasis,Place_Name
Pontus,Pontus,Place_Name
Caspian sea,Caspian sea,Place_Name
Emodos,Emodos,Place_Name
Hyrcanian Sea,Hyrcanian Sea,Place_Name
Cos,Cos,Place_Name
Emaus,Emaus,Place_Name
Hydaspes,Hydaspes,Place_Name
Imaus,Imaus,Place_Name
Taprobane,Taprobane,Place_Name
Carmania,Carmania,Place_Name
Arachosia,Arachosia,Place_Name
Persia,Persia,Place_Name
Cane,Cane,Place_Name
Muziris,Muziris,Place_Name
Babylon,Babylon,Place_Name
Persis,Persis,Place_Name
Elymais,Elymais,Place_Name
Eulaeus,Eulaeus,Place_Name
Charax,Charax,Place_Name
Tylos,Tylos,Place_Name
Ethiopia,Ethiopia,Place_Name
Baragaza,Baragaza,Place_Name
Gades,Gades,Place_Name
Aethiopia,Aethiopia,Place_Name
Aria,Aria,Place_Name
Susiane,Susiane,Place_Name
Seleucia,Seleucia,Place_Name
Petra,Petra,Place_Name
Coele Syria,Coele Syria,Place_Name
Pelusium,Pelusium,Place_Name
Cyrenaica,Cyrenaica,Place_Name
Thapsus,Thapsus,Place_Name
Adrumetum,Adrumetum,Place_Name
Clupea,Clupea,Place_Name
Carthage,Carthage,Place_Name
Utica,Utica,Place_Name
Numidia,Numidia,Place_Name
Pillars of Hercules,Pillars of Hercules,Place_Name
Persepolis,Persepolis,Place_Name
Judaea,Judaea,Place_Name
Libanus,Libanus,Place_Name
Idumaea,Idumaea,Place_Name
Samaria,Samaria,Place_Name
Hierosolyma,Hierosolyma,Place_Name
Ascalon,Ascalon,Place_Name
Joppa,Joppa,Place_Name
Caesarea,Caesarea,Place_Name
Phoenicia,Phoenicia,Place_Name
Sidon,Sidon,Place_Name
Tyre,Tyre,Place_Name
Berytus,Berytus,Place_Name
Botrys,Botrys,Place_Name
Tripolis,Tripolis,Place_Name
Byblus,Byblus,Place_Name
Laodicea,Laodicea,Place_Name
Cilicia,Cilicia,Place_Name
Crete,Crete,Place_Name
Cataonia,Cataonia,Place_Name
Amanus,Amanus,Place_Name
Issus,Issus,Place_Name
Soli,Soli,Place_Name
Tarsus,Tarsus,Place_Name
Pisidia,Pisidia,Place_Name
Side,Side,Place_Name
Pamphylia,Pamphylia,Place_Name
Lycaonia,Lycaonia,Place_Name
Xanthus,Xanthus,Place_Name
Caunus,Caunus,Place_Name
Halicarnassus,Halicarnassus,Place_Name
Cnidos,Cnidos,Place_Name
Doris,Doris,Place_Name
Chios,Chios,Place_Name
Cyclades,Cyclades,Place_Name
Gythium,Gythium,Place_Name
Malea,Malea,Place_Name
Argos,Argos,Place_Name
Elis,Elis,Place_Name
Olympia,Olympia,Place_Name
Messenia,Messenia,Place_Name
Peloponnesus,Peloponnesus,Place_Name
Syracuse,Syracuse,Place_Name
Catina,Catina,Place_Name
Carteia,Carteia,Place_Name
Galatia,Galatia,Place_Name
Mysia,Mysia,Place_Name
Sardis,Sardis,Place_Name
Smyrna,Smyrna,Place_Name
Sipylus,Sipylus,Place_Name
Tmolus,Tmolus,Place_Name
Lydia,Lydia,Place_Name
Ionia,Ionia,Place_Name
Tralles,Tralles,Place_Name
Colophon,Colophon,Place_Name
Miletus,Miletus,Place_Name
Samos,Samos,Place_Name
Athens,Athens,Place_Name
Megara,Megara,Place_Name
Corinth,Corinth,Place_Name
Sikyon,Sikyon,Place_Name
Achaia,Achaia,Place_Name
Patrae,Patrae,Place_Name
Epirus,Epirus,Place_Name
New Carthage,New Carthage,Place_Name
Athos,Athos,Place_Name
Ceylon,Ceylon,Place_Name
Rhyndacus,Rhyndacus,Place_Name
Italy,Italy,Place_Name
Hyrcania,Hyrcania,Place_Name
Olisipo,Olisipo,Place_Name
Lugdunum,Lugdunum,Place_Name
Jaffa,Jaffa,Place_Name
Rhine,Rhine,Place_Name
Po,Po,Place_Name
Danube,Danube,Place_Name
Dnieper,Dnieper,Place_Name
Thurii,Thurii,Place_Name
Cave-dweller Country,Cave-dweller Country,Place_Name
Pelion,Pelion,Place_Name
Cyrene,Cyrene,Place_Name
Phrygia,Phrygia,Place_Name
Olympus,Olympus,Place_Name
Panticapaeum,Panticapaeum,Place_Name
Cimmerian Bosphorus,Cimmerian Bosphorus,Place_Name
Black Sea,Black Sea,Place_Name
Tarracina,Tarracina,Place_Name
Thrace,Thrace,Place_Name
Bononia,Bononia,Place_Name
Ticinus,Ticinus,Place_Name
Faventia,Faventia,Place_Name
Actium,Actium,Place_Name
Judea,Judea,Place_Name
Jerusalem,Jerusalem,Place_Name
Ecbatana,Ecbatana,Place_Name
Scotussa,Scotussa,Place_Name
Avernus,Avernus,Place_Name
Limyra,Limyra,Place_Name
Bithynia,Bithynia,Place_Name
Gela,Gela,Place_Name
Aspendus,Aspendus,Place_Name
Citium,Citium,Place_Name
Bactria,Bactria,Place_Name
Pagasae,Pagasae,Place_Name
Chaonia,Chaonia,Place_Name
Tagus,Tagus,Place_Name
Padus,Padus,Place_Name
Hebrus,Hebrus,Place_Name
Pactolus,Pactolus,Place_Name
Selinus,Selinus,Place_Name
Adriatic,Adriatic,Place_Name
Thebaid,Thebaid,Place_Name
temple of Concord,temple of Concord,Place_Name
Heliopolis,Heliopolis,Place_Name
Alabanda,Alabanda,Place_Name
Orthosia,Orthosia,Place_Name
Capitol,Capitol,Place_Name
Eridanus,Eridanus,Place_Name
Electrides,Electrides,Place_Name
Rhone,Rhone,Place_Name
Liguria,Liguria,Place_Name
Britain,Britain,Place_Name
Crathis,Crathis,Place_Name
Syrtes,Syrtes,Place_Name
Pannonia,Pannonia,Place_Name
Carnuntum,Carnuntum,Place_Name
Paros,Paros,Place_Name
Attica,Attica,Place_Name
Thermodon,Thermodon,Place_Name
Amisos,Amisos,Place_Name
Chalcedon,Chalcedon,Place_Name
Thasos,Thasos,Place_Name
Trachis,Trachis,Place_Name
Oita,Oita,Place_Name
Parnassus,Parnassus,Place_Name
Lesbos,Lesbos,Place_Name
Alabastrum,Alabastrum,Place_Name
Damascus,Damascus,Place_Name
Philae,Philae,Place_Name
Arcadia,Arcadia,Place_Name
Corsica,Corsica,Place_Name
Aeolis,Aeolis,Place_Name
Atarneus,Atarneus,Place_Name
Ida,Ida,Place_Name
Samnium,Samnium,Place_Name
Hypasis,Hypasis,Place_Name
Sydrus,Sydrus,Place_Name
Rhodapha,Rhodapha,Place_Name
Palibothra,Palibothra,Place_Name
Prinas,Prinas,Place_Name
Cainas,Cainas,Place_Name
Condochates,Condochates,Place_Name
Erannoboas,Erannoboas,Place_Name
Cosoagus,Cosoagus,Place_Name
Sonus,Sonus,Place_Name
Protalis,Protalis,Place_Name
Peucolaitis,Peucolaitis,Place_Name
Taxilla,Taxilla,Place_Name
Modogalinga,Modogalinga,Place_Name
Andarae,Andarae,Place_Name
Dardae,Dardae,Place_Name
Methora,Methora,Place_Name
Chrysobora,Chrysobora,Place_Name
Dandaguda,Dandaguda,Place_Name
Tropina,Tropina,Place_Name
Patala,Patala,Place_Name
Capitalia,Capitalia,Place_Name
Automula,Automula,Place_Name
Amenda,Amenda,Place_Name
Cantaba,Cantaba,Place_Name
Prasiane,Prasiane,Place_Name
Argyre,Argyre,Place_Name
Crocala,Crocala,Place_Name
Bibraga,Bibraga,Place_Name
Toralliba,Toralliba,Place_Name
Hippuros,Hippuros,Place_Name
Palaesimundus,Palaesimundus,Place_Name
Megisba,Megisba,Place_Name
Palesimundus,Palesimundus,Place_Name
Cydara,Cydara,Place_Name
Coliacum,Coliacum,Place_Name
