Id,Label
Academy,Academy
Palatine,Palatine
Esquiline,Esquiline
Capitol,Capitol
Rome,Rome
Ida,Ida
Salamis,Salamis
Ethiopia,Ethiopia
Egypt,Egypt
Modena,Modena
Bosphorus,Bosphorus
Dalmatia,Dalmatia
Cyrenaica,Cyrenaica
Narbonne,Narbonne
Ostia,Ostia
Vienne,Vienne
Italy,Italy
Black Sea,Black Sea
Pompei,Pompei
Etruria,Etruria
Bolsena,Bolsena
Temple,Temple
Terracina,Terracina
Lucania,Lucania
Compsa,Compsa
Ameria,Ameria
Tuder,Tuder
Aegospotami,Aegospotami
Thrace,Thrace
Abydos,Abydos
Potidaea,Potidaea
Locri,Locri
Rhodes,Rhodes
Syracuse,Syracuse
Pelion,Pelion
Alps,Alps
Cadiz,Cadiz
Scythia,Scythia
Caspian Sea,Caspian Sea
Maeotic,Maeotic
Mauretania,Mauretania
Carthage,Carthage
Arabia,Arabia
Cave-dweller Country,Cave-dweller Country
Alexandria,Alexandria
Meroe,Meroe
Arbela,Arbela
Sicily,Sicily
Campania,Campania
Armenia,Armenia
Sicyon,Sicyon
Elis,Elis
Ancona,Ancona
Syene,Syene
India,India
Berenice,Berenice
Ptolemais,Ptolemais
Red Sea,Red Sea
Nile,Nile
Britain,Britain
Thule,Thule
Sparta,Sparta
Taygetus,Taygetus
Apennines,Apennines
Naples,Naples
Trasimene,Trasimene
Echinades,Echinades
Achelous,Achelous
Pharos,Pharos
Circei,Circei
Ambracia,Ambracia
Piraeus,Piraeus
Ephesus,Ephesus
temple,temple
Memphis,Memphis
Ilium,Ilium
Maeander,Maeander
Delos,Delos
Anaphe,Anaphe
Melos,Melos
Lemnos,Lemnos
Dardanelles,Dardanelles
Halone,Halone
Lebedos,Lebedos
Teos,Teos
Cyclades,Cyclades
Thera,Thera
Therasia,Therasia
Hiera,Hiera
Automate,Automate
Thia,Thia
Aeolian Islands,Aeolian Islands
Crete,Crete
Pithecusae,Pithecusae
Cyprus,Cyprus
Syria,Syria
Euboea,Euboea
Boeotia,Boeotia
Atalante,Atalante
Besbicus,Besbicus
Bithynia,Bithynia
Antissa,Antissa
Lesbos,Lesbos
Halicarnassus,Halicarnassus
Myndus,Myndus
Miletus,Miletus
Hybanda,Hybanda
Magnesia,Magnesia
Epidaurus,Epidaurus
Oricum,Oricum
Acarnania,Acarnania
Ambracian Gulf,Ambracian Gulf
Achaea,Achaea
Gulf of Corinth,Gulf of Corinth
Propontis,Propontis
Leucas,Leucas
Antirrhium,Antirrhium
Caria,Caria
Sipylus,Sipylus
Gamale,Gamale
Phoenicia,Phoenicia
Maeotis,Maeotis
Helice,Helice
Bura,Bura
Ceos,Ceos
Tyndaris,Tyndaris
Eleusis,Eleusis
Sinuessa,Sinuessa
Pozzuoli,Pozzuoli
Hierapolis,Hierapolis
Delphi,Delphi
Gabii,Gabii
Reate,Reate
Vadimon,Vadimon
Lydia,Lydia
Nymphaion,Nymphaion
Paphos,Paphos
shrine of Venus,shrine of Venus
Nea,Nea
Troad,Troad
Harpasa,Harpasa
Assos,Assos
Indus,Indus
Croton,Croton
Lycia,Lycia
Arpi,Arpi
Veii,Veii
Tusculum,Tusculum
Crustuminum,Crustuminum
Utica,Utica
Syrtes,Syrtes
Taormina,Taormina
Baetis,Baetis
Hispalis,Hispalis
Messina,Messina
Mylae,Mylae
Lake Fucinus,Lake Fucinus
Como,Como
Ticinus,Ticinus
Rhone,Rhone
