"UUID","FILE","QUOTE_TRANSCRIPTION","ANCHOR","TYPE","URI","VOCAB_LABEL","VOCAB_TEMPORAL_BOUNDS","LAT","LNG","PLACE_TYPE","VERIFICATION_STATUS","TAGS","COMMENTS","GROUP_ID","GROUP_ORDER"
"504c8d14-7b8f-4f62-b62f-b9aae7330a32","2.75.1_text.txt","hypasis","char-offset:393","PLACE","http://pleiades.stoa.org/places/60110","Zadadros/Hypasis/Sydrus (river)","-0330/0300","32.5","72.5","river","VERIFIED","","","",""
"0fef8015-881a-4b7d-ac73-2ad64d36df61","6.21.2_text.txt","that india forms one-third of the whole earth","char-offset:1415","","","","","","","","","comment on India","","",""
"3e419194-e167-45e3-ae25-d98ca7cf447c","6.21.2_text.txt","indians are nearly the only race of people who have never migrated from their own territories","char-offset:1569","","","","","","","","","comment on India","","",""
"2324d61e-02fa-4d2e-925d-50692e5f8f51","6.21.4_text.txt","sydrus","char-offset:126","PLACE","http://pleiades.stoa.org/places/60110","Zadadros/Hypasis/Sydrus (river)","-0330/0300","32.5","72.5","river","VERIFIED","","","",""
"9c6769ce-4b43-45b6-aef7-8fe94e2fbe9b","6.21.4_text.txt","rhodapha","char-offset:316","PLACE","http://pleiades.stoa.org/places/60019","Rhodopha","-0330/-0030","27.5","77.5","unknown","VERIFIED","","A river in India, mentioned by Pliny
https://en.wiktionary.org/wiki/Rhodaphas","",""
"a150b199-c203-46b3-8046-b5f1f7a6f00b","6.21.4_text.txt","palibothra","char-offset:732","PLACE","http://pleiades.stoa.org/places/59978","Palibothra|Palibothra, Patna Skt.: Paṭaliputra","-0330/0640","25.614443","85.13502","settlement","VERIFIED","","","",""
"c14ce247-4873-4014-9e3e-46d4ef0cfae2","6.21.5_text.txt","prinas","char-offset:419","PLACE","http://pleiades.stoa.org/places/60008","Prinas (river)","-0330/-0030","25.621435000000005","86.51155633333333","river","VERIFIED","","","",""
"59739eb0-bc0c-4786-98f3-a9505eb4dfa0","6.21.5_text.txt","cainas","char-offset:430","PLACE","http://pleiades.stoa.org/places/59757","Cainnas? (river)","-0330/-0030","22.5","82.5","river","VERIFIED","","river mentioned by Pliny, flows into the Ganges","",""
"a02cb9f8-734f-4d39-b547-fbcdffb44cd2","6.22.1_text.txt","condochates","char-offset:381","PLACE","http://pleiades.stoa.org/places/59884","Kondochates (river)","-0330/-0030","27.5","82.5","river","VERIFIED","","a river flowed into Ganges","",""
"260e913d-4ba4-4183-b28f-bc16af4abf00","6.22.1_text.txt","erannoboas","char-offset:398","PLACE","http://pleiades.stoa.org/places/59808","Erannoboas/Sonus (river)","-0330/0300","22.5","82.5","river","VERIFIED","","","",""
